Instruments,Intervals,rating_stimulus,rating_score,HAAQI,PEAQ_B,PEAQ_ADV,VISQ,PEMO
pipeorgan,C4A#4,32k,481,0.3810391305219331,0.18425,0.10375,0.6291563123690129,0.17931266224999998
pipeorgan,C4A#4,96k,1121,0.6351475010332719,0.7462500000000001,0.86625,0.9277851922390514,0.89730488925
pipeorgan,C4A#4,96k_ak_EQ,491,0.3389956587689352,0.26725,0.0969999999999999,0.7441879680889075,0.70900794825
pipeorgan,C4A#4,96k_muk_EQ,876,0.4530290844930568,0.2355,0.1604999999999999,0.888512683533687,0.55104517175
pipeorgan,C4A#4,wav,1205,1.0,1.0,1.0,1.0,1.0
pipeorgan,C4A#4,wav_ak_EQ,618,0.4476754889676015,0.594,0.0969999999999999,0.7366853019758017,0.75796349875
pipeorgan,C4A#4,wav_muk_EQ,947,0.5745906073804052,0.44975,0.20675,0.8856301391873429,0.6419125889999999
pipeorgan,C4C#4,32k,555,0.5914141407093126,0.21025,0.1089999999999999,0.9088324013352298,0.19856363349999995
pipeorgan,C4C#4,96k,986,0.9755460944011088,0.6185,0.854,0.9282148786508416,0.86297839175
pipeorgan,C4C#4,96k_ak_EQ,412,0.6630068858829992,0.33175,0.0969999999999999,0.8706422560822726,0.761707383
pipeorgan,C4C#4,96k_muk_EQ,711,0.7184706404552903,0.24575,0.15525,0.880559483768937,0.648223699
pipeorgan,C4C#4,wav,1083,1.0,1.0,1.0,1.0,1.0
pipeorgan,C4C#4,wav_ak_EQ,436,0.685981629471,0.4495,0.0969999999999999,0.8635297865593912,0.79858234675
pipeorgan,C4C#4,wav_muk_EQ,710,0.7507662248691376,0.4935,0.2299999999999999,0.8846882334606967,0.7992882649999999
pipeorgan,C4F#4,32k,484,0.4164766790840186,0.2392499999999999,0.1165,0.8060537613133525,0.19683349274999995
pipeorgan,C4F#4,96k,1182,0.7592230648998629,0.82775,0.8725,0.9275882459439344,0.90061940775
pipeorgan,C4F#4,96k_ak_EQ,563,0.3975667125332506,0.34275,0.0969999999999999,0.8214443420804922,0.6671152444999999
pipeorgan,C4F#4,96k_muk_EQ,811,0.5950401895498456,0.2835,0.131,0.8587372786657343,0.608954285
pipeorgan,C4F#4,wav,1059,1.0,1.0,1.0,1.0,1.0
pipeorgan,C4F#4,wav_ak_EQ,496,0.4510736193986852,0.393,0.0969999999999999,0.8206921471992772,0.68960961225
pipeorgan,C4F#4,wav_muk_EQ,823,0.6998163446485892,0.365,0.16125,0.8597746427613318,0.6985914047499999
pipeorgan,C4G4,32k,360,0.3393524441163201,0.23675,0.1062499999999999,0.8119607179635377,0.17954568075
pipeorgan,C4G4,96k,1095,0.6784850374407604,0.8085,0.85975,0.9308984355523102,0.8987136725
pipeorgan,C4G4,96k_ak_EQ,470,0.2140865619919145,0.3452499999999999,0.0969999999999999,0.8834560855122988,0.698549246
pipeorgan,C4G4,96k_muk_EQ,849,0.4848019758121644,0.23475,0.1049999999999999,0.8722479610299436,0.5046034340000001
pipeorgan,C4G4,wav,1116,1.0,1.0,1.0,1.0,1.0
pipeorgan,C4G4,wav_ak_EQ,668,0.238880911811548,0.39125,0.0969999999999999,0.8819599315312179,0.695522376
pipeorgan,C4G4,wav_muk_EQ,874,0.572638670123457,0.2977499999999999,0.1129999999999999,0.8800697467664094,0.56386140025
