update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
3,0,2,0.3256,60.0,60.0,0.67,-12.26,1.0,0.1,279.0,15.0,60.0,1.3,-5.6,7.26,10.0,200.78,54.9,42.82,1.43,-3.4,4.66,0.1,215.68,27.22,60.0,2.0,0.0,1.0,0.1,300.0
3,0,3,0.4095,60.0,60.0,0.0,-15.0,1.99,0.1,300.0,15.0,60.0,2.0,-6.93,6.69,10.0,300.0,60.0,30.0,0.53,-14.32,9.42,0.1,175.24,15.0,60.0,2.0,-12.5,3.25,0.1,138.97
3,0,4,0.3616,60.0,60.0,1.42,-8.92,1.0,0.1,300.0,15.0,60.0,2.0,-7.05,7.53,10.0,300.0,60.0,30.0,0.0,-10.32,9.81,0.1,216.46,15.0,60.0,2.0,-1.2,3.92,0.1,146.0
3,0,5,0.3971,42.04,60.0,1.32,-8.75,2.01,0.1,300.0,15.0,60.0,2.0,0.0,8.88,10.0,300.0,60.0,30.0,0.79,-12.49,10.0,0.1,300.0,15.0,60.0,2.0,-1.31,9.13,0.1,282.53
3,0,6,0.3988,39.61,60.0,1.78,-9.74,2.71,0.1,300.0,15.0,60.0,2.0,0.0,10.0,10.0,300.0,60.0,30.0,0.59,-15.0,10.0,3.98,300.0,15.0,60.0,2.0,0.0,7.36,0.1,89.17
3,0,7,0.4201,58.66,60.0,1.46,-14.25,4.04,0.1,300.0,15.0,60.0,2.0,-2.47,10.0,10.0,300.0,60.0,30.0,2.0,-15.0,10.0,1.32,300.0,15.0,60.0,2.0,0.0,4.14,0.1,171.6
3,0,8,0.4021,60.0,60.0,1.17,-15.0,1.3,0.1,300.0,15.0,60.0,2.0,0.0,10.0,10.0,300.0,60.0,30.0,1.25,-15.0,10.0,0.57,300.0,15.0,60.0,2.0,-6.49,1.53,0.1,199.87
3,0,9,0.407,60.0,60.0,2.0,-15.0,1.0,0.1,300.0,15.0,60.0,2.0,-8.87,10.0,10.0,300.0,60.0,30.0,1.15,-14.46,6.48,0.1,300.0,15.0,60.0,2.0,-15.0,1.0,0.1,87.96
3,0,10,0.4038,60.0,60.0,1.25,-15.0,1.0,0.1,300.0,15.0,60.0,2.0,-1.71,10.0,10.0,300.0,60.0,30.0,0.94,-15.0,9.51,0.1,300.0,15.0,60.0,2.0,-8.63,1.0,0.1,77.18
3,0,11,0.3876,55.01,60.0,0.0,-15.0,1.0,0.1,300.0,15.0,60.0,2.0,0.0,10.0,10.0,300.0,60.0,30.0,0.44,-15.0,10.0,0.1,300.0,15.0,60.0,2.0,-15.0,1.0,0.1,50.0
