update,episode,timestep,reward,Hum_0,Hiss_1,CL_2,Thre_3,Ratio_4,Attk_5,Release_6,Hum_7,Hiss_8,CL_9,Thre_10,Ratio_11,Attk_12,Release_13,Hum_14,Hiss_15,CL_16,Thre_17,Ratio_18,Attk_19,Release_20,Hum_21,Hiss_22,CL_23,Thre_24,Ratio_25,Attk_26,Release_27
0,0,10,0.375,15.0,60.0,2.0,-10.76,8.98,0.1,300.0,60.0,34.26,0.31,-1.98,6.96,10.0,168.09,15.0,30.0,0.0,-15.0,1.0,0.1,300.0,60.0,60.0,0.0,-15.0,10.0,0.1,50.0
0,0,11,0.4052,15.0,60.0,2.0,-9.97,10.0,0.1,300.0,60.0,30.0,0.0,-0.97,10.0,10.0,212.63,15.0,30.0,0.0,-15.0,1.0,0.22,300.0,26.05,54.07,1.64,-15.0,10.0,0.1,99.23
0,0,12,0.4231,15.0,60.0,1.18,-14.72,10.0,0.1,283.15,56.8,30.0,0.53,0.0,5.63,10.0,57.3,15.0,30.0,0.0,-15.0,1.0,0.1,300.0,57.62,30.0,0.7,-15.0,10.0,0.1,84.08
0,0,13,0.4167,15.0,60.0,1.23,-10.55,10.0,0.1,154.94,60.0,30.0,2.0,0.0,3.17,10.0,50.0,15.0,30.0,0.0,-10.76,1.0,1.54,300.0,60.0,30.0,0.31,-15.0,10.0,0.1,300.0
0,0,14,0.42,15.0,60.0,0.0,-15.0,10.0,0.1,50.0,60.0,30.0,0.88,0.0,6.32,10.0,50.0,15.0,30.0,0.0,-11.21,1.0,0.52,300.0,60.0,30.0,0.12,-15.0,10.0,0.1,300.0
0,1,0,0.3125,20.49,30.0,0.31,0.0,9.25,7.26,251.41,25.18,60.0,1.8,-1.94,5.01,6.21,141.91,52.85,52.33,2.0,-11.16,4.32,2.82,127.2,21.83,30.0,0.79,-0.68,1.0,0.1,290.14
0,1,1,0.3745,15.0,30.0,0.0,0.0,7.74,9.97,300.0,15.0,60.0,1.37,-14.58,4.23,5.14,254.39,25.23,60.0,2.0,-8.92,1.0,1.86,102.32,60.0,50.73,0.86,-1.21,1.0,0.1,300.0
0,1,2,0.3501,16.44,51.77,0.0,0.0,10.0,10.0,253.48,33.68,60.0,1.1,-15.0,10.0,5.17,109.85,15.45,34.07,1.7,-15.0,1.0,1.64,50.0,60.0,44.9,0.0,0.0,1.0,0.1,300.0
0,1,3,0.3795,29.75,30.0,0.0,0.0,10.0,10.0,239.43,15.0,60.0,1.23,-13.04,9.37,10.0,118.04,15.0,39.4,1.63,-15.0,1.0,0.1,50.0,60.0,40.54,0.0,0.0,1.0,0.1,300.0
0,1,4,0.3095,50.19,37.21,0.0,0.0,10.0,10.0,63.83,15.0,60.0,0.0,-12.15,6.91,6.18,145.22,22.94,42.63,1.82,-15.0,1.0,0.1,50.0,60.0,44.75,0.0,0.0,1.0,1.89,300.0
0,1,5,0.3227,31.55,54.2,0.0,0.0,10.0,6.9,213.02,15.0,60.0,0.23,-13.29,8.64,10.0,209.82,24.91,42.42,1.54,-15.0,1.0,0.1,50.0,46.81,30.0,0.0,0.0,1.0,5.33,300.0
0,1,6,0.3356,15.0,40.07,0.0,0.0,10.0,6.85,300.0,15.0,60.0,0.0,-15.0,5.75,10.0,258.62,43.91,50.82,1.72,-15.0,1.0,0.1,52.66,48.53,30.0,0.0,-5.04,1.0,7.61,140.83
